province_name,gdp,population,high_tech_output,digital_economy,r_d_investment,green_patents,energy_consumption,carbon_emission,renewable_energy,energy_efficiency,forest_coverage,environmental_investment,,
北京,41045.6,2189,6234.56,0.891693532,2345.67,1567.89,5642.34,79.88042846,1823.45,0.78,43.8,523.67,,
天津,15685.1,1373,3256.78,0.710466623,987.65,789.56,3766.11,155.5459845,876.45,0.65,12.1,345.78,,
河北,40397.1,7448,4789.56,0.664191127,876.45,345.67,28738.44,885.5065519,1567.89,0.45,26.8,567.89,,
山西,22870.4,3480,2345.67,0.66534549,543.21,234.56,51331.61,613.7281195,876.54,0.39,20.5,345.67,,
内蒙古,21166,2400,1567.89,0.674951375,345.67,123.45,49035.95,843.3988734,1456.78,0.35,22.1,234.56,,
辽宁,27569.5,4229,4567.89,0.676275194,765.43,456.78,18710.78,545.6740483,987.65,0.52,39.2,456.78,,
吉林,13163.8,2375,2345.67,0.660404742,456.78,234.56,8730.65,204.6254195,765.43,0.48,41.5,234.56,,
黑龙江,14858.2,3125,2134.56,0.666356027,423.45,212.34,14142.64,287.5362092,876.54,0.46,43.8,245.67,,
上海,43653.2,2489,8765.43,0.810815036,2876.54,1876.54,4238.28,194.0722182,1987.65,0.82,14,678.9,,
江苏,117392.4,8505,12345.67,0.710415542,3456.78,2345.67,24902.05,817.6802056,2987.65,0.72,15.2,987.65,,
浙江,74040.8,6540,10987.65,0.740798831,3123.45,2134.56,13676.9,442.2029529,2765.43,0.75,59.4,876.54,,
安徽,42565.2,6113,5432.1,0.657124817,1234.56,876.54,16699.74,310.8735662,1456.78,0.59,28.7,543.21,,
福建,49566.1,4187,6789.01,0.69268316,1567.89,1098.76,8718.32,299.8169928,1765.43,0.65,66.8,654.32,,
江西,29827.8,4517,3456.78,0.642783344,876.54,654.32,7995.94,245.4148048,1234.56,0.54,61.2,432.1,,
山东,82875.2,10170,9876.54,0.660107434,2134.56,1456.78,43132.99,947.1629168,2345.67,0.61,17.5,765.43,,
河南,58071.4,9883,6543.21,0.655162334,1456.78,987.65,20045.45,483.738032,1876.54,0.53,24.1,654.32,,
湖北,50091.2,5830,7890.12,0.663318574,1876.54,1234.56,11768.33,361.0548882,1987.65,0.58,39.6,654.32,,
湖南,45713.5,6622,6789.01,0.650132895,1567.89,1098.76,10664.02,310.8735662,1876.54,0.57,49.7,598.76,,
广东,124719.5,12684,16789.01,0.713358402,4567.89,3456.78,16833.87,629.737182,3567.89,0.73,53.5,1234.56,,
广西,25209.1,5037,2345.67,0.659536839,543.21,345.67,8021.91,288.0322839,1234.56,0.49,60.2,432.1,,
海南,6504.1,1020,987.65,0.686027408,234.56,176.54,1130.39,45.65271519,654.32,0.53,57.4,234.56,,
重庆,28077.3,3212,4567.89,0.679442406,987.65,765.43,5022.94,165.278991,1456.78,0.56,43.1,543.21,,
四川,54088,8372,7890.12,0.680940151,1876.54,1345.67,7713.47,314.901881,2134.56,0.55,38,765.43,,
贵州,19458.6,3852,1987.65,0.659405231,456.78,234.56,12204.17,265.8629944,987.65,0.43,43.8,345.67,,
云南,27161.6,4690,2456.78,0.658307612,543.21,321.45,7532.73,234.3680915,1234.56,0.47,55,432.1,,
西藏,2080.2,366,234.56,0.655211151,87.65,43.21,1541.92,54.3810183420015,456.78,0.32,12.1,123.45,,
陕西,30121.7,3954,4567.89,0.693628371,987.65,765.43,21548.81,339.1044281,1345.67,c,43.1,543.21,,
甘肃,10225.5,2490,1234.56,0.665045261,321.45,154.32,6810.16,189.4525448,876.54,0.38,11.3,234.56,,
青海,3385.1,594,543.21,0.672072291,154.32,87.65,3432.1,56.38101834,654.32,0.34,5.8,167.89,,
宁夏,4588.2,725,765.43,0.684051633,187.65,98.76,13724.01,235.3180511,543.21,0.41,12.6,176.54,,
新疆,16311.6,2589,1345.67,0.668339133,321.45,165.43,7654.32,520.7101257,987.65,0.36,4.9,243.21,,
,,,,,,,,,,,,,,
